Year,Month,District,Temp_2m,Precip,MaxTemp_2m,MinTemp_2m,Humidity_2m,Pressure
1981,1,Kathmandu,7.498387096774193,27.669999999999998,13.570967741935483,3.5883870967741935,4.279354838709677,84.2158064516129
1981,2,Kathmandu,11.256428571428572,1.13,18.37964285714286,6.402857142857143,4.036428571428571,84.0825
1981,3,Kathmandu,14.476129032258065,27.98,21.26838709677419,9.128709677419355,5.056451612903226,84.0641935483871
1981,4,Kathmandu,18.382333333333335,59.79,25.270333333333333,12.142333333333333,6.262666666666666,83.86466666666666
1981,5,Kathmandu,20.99451612903226,128.81,26.72193548387097,15.601290322580645,10.070645161290322,83.70322580645161
1981,6,Kathmandu,22.662666666666667,169.98,27.87633333333333,17.878,12.471666666666666,83.39033333333333
1981,7,Kathmandu,21.108387096774194,336.35,24.259677419354837,18.370967741935484,16.80258064516129,83.4058064516129
1981,8,Kathmandu,20.576129032258066,218.46,23.640967741935484,17.95258064516129,16.451612903225808,83.42709677419354
1981,9,Kathmandu,19.06833333333333,87.28,22.512333333333334,16.344666666666665,14.559,83.889
1981,10,Kathmandu,16.157096774193548,2.27,21.279999999999998,12.63258064516129,9.473548387096775,84.07000000000001
1981,11,Kathmandu,12.417333333333334,21.540000000000003,18.345333333333333,8.669666666666666,6.000666666666667,84.16133333333333
1981,12,Kathmandu,9.282903225806452,2.26,16.048709677419353,5.271935483870968,3.6938709677419355,84.37225806451613
1982,1,Kathmandu,9.391935483870967,78.25,16.05032258064516,5.170967741935484,3.7893548387096776,84.27032258064517
1982,2,Kathmandu,8.832857142857142,9.48,15.540357142857143,3.930357142857143,4.214285714285714,83.98857142857142
1982,3,Kathmandu,13.570322580645161,19.63,20.35483870967742,8.376451612903226,5.324838709677419,83.98612903225806
1982,4,Kathmandu,18.962333333333333,21.0,25.81566666666667,12.576666666666666,6.028666666666667,83.79633333333332
1982,5,Kathmandu,22.06645161290323,36.550000000000004,28.778709677419354,15.600967741935484,7.10516129032258,83.8341935483871
1982,6,Kathmandu,23.189,67.88,28.755,18.169666666666668,12.133333333333333,83.402
1982,7,Kathmandu,22.52741935483871,219.96,26.82,19.001612903225805,14.966451612903224,83.38806451612903
1982,8,Kathmandu,21.10709677419355,180.54,24.618709677419353,18.24258064516129,16.186774193548388,83.46225806451612
1982,9,Kathmandu,19.166333333333334,124.55,22.945666666666668,16.168333333333333,13.880666666666666,83.784
1982,10,Kathmandu,16.28258064516129,2.8000000000000003,21.669677419354837,12.257741935483871,8.638387096774194,84.23645161290322
1982,11,Kathmandu,12.456666666666667,6.84,18.542333333333332,8.589666666666666,5.836666666666667,84.22
1982,12,Kathmandu,9.731290322580646,4.84,16.61064516129032,5.575483870967742,3.5503225806451613,84.22870967741936
1983,1,Kathmandu,7.483225806451613,0.22999999999999998,14.42225806451613,3.111290322580645,2.7516129032258063,84.24935483870968
1983,2,Kathmandu,9.439285714285715,0.13,16.791428571428572,4.157857142857143,2.4528571428571433,84.04535714285714
1983,3,Kathmandu,14.96258064516129,9.27,22.64516129032258,8.920645161290324,3.205483870967742,83.92032258064515
1983,4,Kathmandu,18.1,8.59,25.165333333333333,11.958333333333334,4.717333333333333,83.827
1983,5,Kathmandu,21.633870967741935,48.49,27.99451612903226,15.379354838709677,7.76,83.75451612903225
1983,6,Kathmandu,24.082666666666668,96.39,30.052666666666667,18.104,9.806999999999999,83.52466666666666
1983,7,Kathmandu,22.705161290322582,138.26,27.041612903225804,19.080967741935485,15.431612903225806,83.51161290322581
1983,8,Kathmandu,21.857741935483872,86.37,26.104193548387098,18.466451612903228,15.708709677419355,83.61516129032259
1983,9,Kathmandu,20.449,54.5,24.71066666666667,17.251666666666665,14.234333333333334,83.79266666666668
1983,10,Kathmandu,17.431612903225805,52.46,22.787096774193547,13.75741935483871,9.72483870967742,84.01677419354839
