,Temp_2m
2020-01-31,14.280167612570205
2020-02-29,17.40266509290411
2020-03-31,22.169984865880632
2020-04-30,25.963474402234464
2020-05-31,27.135645476953677
2020-06-30,27.454515294339355
2020-07-31,26.084520413531276
2020-08-31,25.790118899045577
2020-09-30,24.663990858409125
2020-10-31,22.392831452912265
2020-11-30,19.002106273952826
2020-12-31,15.561016396799635
2021-01-31,14.35951182145269
2021-02-28,17.48245872991316
2021-03-31,22.250227931016248
2021-04-30,26.04416689549664
2021-05-31,27.216787398342422
2021-06-30,27.536106643854662
2021-07-31,26.16656119117315
2021-08-31,25.87260910481401
2021-09-30,24.74693049230413
2021-10-31,22.476220514933836
2021-11-30,19.08594476410096
2021-12-31,15.645304315074336
2022-01-31,14.444249167853952
2022-02-28,17.567645504440986
2022-03-31,22.33586413367064
2022-04-30,26.130252526277598
2022-05-31,27.30332245724994
2022-06-30,27.623091130888753
2022-07-31,26.253995106333807
2022-08-31,25.96049244810123
2022-09-30,24.835263263717916
2022-10-31,22.56500271447418
2022-11-30,19.175176391767874
2022-12-31,15.73498537086781
2023-01-31,14.534379651773994
2023-02-28,17.658225416487596
2023-03-31,22.426893473843815
2023-04-30,26.22173129457734
2023-05-31,27.395250653676246
2023-06-30,27.71546875544162
2023-07-31,26.346822159013236
2023-08-31,26.05376892890723
2023-09-30,24.928989172650475
2023-10-31,22.65917805153331
2023-11-30,19.269801156953566
2023-12-31,15.83005956418007
2024-01-31,14.62990327321282
2024-02-29,17.75419846605298
2024-03-31,22.523315951535768
2024-04-30,26.318603200395852
2024-05-31,27.49257198762133
2024-06-30,27.813239517513264
2024-07-31,26.445042349211448
2024-08-31,26.15243854723201
2024-09-30,25.028108219101817
2024-10-31,22.758746526111217
2024-11-30,19.369819059658038
2024-12-31,15.930526895011107
2025-01-31,14.730820032170419
2025-02-28,17.855564653137147
2025-03-31,22.625131566746497
2025-04-30,26.42086824373315
2025-05-31,27.59528645908519
2025-06-30,27.91640341710369
2025-07-31,26.54865567692844
2025-08-31,26.256501303075563
2025-09-30,25.13262040307194
2025-10-31,22.8637081382079
2025-11-30,19.47523009988129
2025-12-31,16.036387363360923
2026-01-31,14.837129928646801
2026-02-28,17.962323977740095
2026-03-31,22.73234031947601
2026-04-30,26.528526424589227
2026-05-31,27.70339406806783
2026-06-30,28.0249604542129
2026-07-31,26.65766214216421
2026-08-31,26.365957196437897
2026-09-30,25.242525724560842
2026-10-31,22.974062887823365
2026-11-30,19.58603427762332
2026-12-31,16.14764096922952
