,Precip
2020-01-31,52.13382825264006
2020-02-29,59.70815692526085
2020-03-31,62.486046383876456
2020-04-30,70.03199662848685
2020-05-31,130.618007659092
2020-06-30,260.803579475692
2020-07-31,419.5177120782868
2020-08-31,337.61790546687644
2020-09-30,246.68615964146085
2020-10-31,104.71747460204007
2020-11-30,41.67385034861411
2020-12-31,44.25528688118288
2021-01-31,51.94378419974652
2021-02-28,59.470842304304966
2021-03-31,62.201461194858226
2021-04-30,69.70014087140628
2021-05-31,130.23888133394914
2021-06-30,260.3771825824868
2021-07-31,419.04404461701927
2021-08-31,337.0969674375465
2021-09-30,246.11795104406855
2021-10-31,104.10199543658543
2021-11-30,41.01110061509712
2021-12-31,43.545266579603634
2022-01-31,51.18649333010492
2022-02-28,58.66628086660097
2022-03-31,61.34962918909186
2022-04-30,68.80103829757756
2022-05-31,129.29250819205808
2022-06-30,259.3835388725334
2022-07-31,418.0031303390035
2022-08-31,336.0087825914685
2022-09-30,244.98249562992817
2022-10-31,102.91926945438273
2022-11-30,39.78110406483199
2022-12-31,42.26799946127616
2023-01-31,49.861955643715106
2023-02-28,57.294472612148866
2023-03-31,59.93055036657741
2023-04-30,67.3346889070008
2023-05-31,127.77888823341897
2023-06-30,257.82264834583185
2023-07-31,416.39496924423963
2023-08-31,334.35335092864227
2023-09-30,243.27979339903965
2023-10-31,101.16929665543181
2023-11-30,37.98386069781881
2023-12-31,40.42348552620061
2024-01-31,47.97017114057715
2024-02-29,55.355417540948565
2024-03-31,57.94422472731479
2024-04-30,65.3010926996758
2024-05-31,125.69802145803163
2024-06-30,255.69451100238223
2024-07-31,414.2195613327277
2024-08-31,332.1306724490679
2024-09-30,241.00984435140293
2024-10-31,98.85207703973275
2024-11-30,35.61937051405741
2024-12-31,38.01172477437686
2025-01-31,45.51113982069114
2025-02-28,52.849115653000155
2025-03-31,55.390652271304006
2025-04-30,62.70024967560268
2025-05-31,123.04990786589616
2025-06-30,252.99912684218447
2025-07-31,411.47690660446756
2025-08-31,329.34074715274545
2025-09-30,238.17264848701808
2025-10-31,95.96761060728555
2025-11-30,32.687633513547866
2025-12-31,35.032717205805
2026-01-31,42.48486168405691
2026-02-28,49.775566948303634
2026-03-31,52.26983299854514
2026-04-30,59.53215983478144
2026-05-31,119.83454745701255
2026-06-30,249.7364958652385
2026-07-31,408.16700505945926
2026-08-31,325.9835750396748
2026-09-30,234.76820580588515
2026-10-31,92.5158973580903
2026-11-30,29.188649696290213
2026-12-31,31.486462820484974
