,Precip
2020-01-31,50.762592445765506
2020-02-29,58.743587273231725
2020-03-31,63.21613625188586
2020-04-30,74.776239381728
2020-05-31,138.39639666275804
2020-06-30,249.27960809497606
2020-07-31,382.800373678382
2020-08-31,322.33619341297594
2020-09-30,236.36806729875772
2020-10-31,100.43249533572754
2020-11-30,43.69947752388525
2020-12-31,45.97551386323096
2021-01-31,52.16710435376456
2021-02-28,60.118748995486186
2021-03-31,64.56194778839567
2021-04-30,76.09270073249317
2021-05-31,139.68350782777856
2021-06-30,250.53736907425193
2021-07-31,384.0287844719133
2021-08-31,323.5352540207625
2021-09-30,237.53777772079977
2021-10-31,101.5728555720249
2021-11-30,44.81048757443803
2021-12-31,47.05717372803906
2022-01-31,53.2194140328281
2022-02-28,61.14170848880505
2022-03-31,65.55555709596995
2022-04-30,77.0569598543228
2022-05-31,140.6184167638636
2022-06-30,251.44292782459232
2022-07-31,384.90499303650904
2022-08-31,324.3821123996137
2022-09-30,238.35528591390627
2022-10-31,102.36101357938679
2022-11-30,45.569295396055296
2022-12-31,47.78663136391171
2023-01-31,53.91952148295607
2023-02-28,61.812465753188405
2023-03-31,66.19696417460868
2023-04-30,77.66901674721689
2023-05-31,141.20112347101303
2023-06-30,251.9962843459972
2023-07-31,385.42899937216924
2023-08-31,324.8767685495293
2023-09-30,238.82059187807718
2023-10-31,102.79696935781314
2023-11-30,45.97590098873697
2023-12-31,48.16388677084879
2024-01-31,54.267426704148505
2024-02-29,62.13102078863625
2024-03-31,66.48616902431188
2024-04-30,77.92887141117549
2024-05-31,141.431627949227
2024-06-30,252.19743863846654
2024-07-31,385.60080347889397
2024-08-31,325.01922247050936
2024-09-30,238.93369561331266
2024-10-31,102.88072290730398
2024-11-30,46.03030435248316
2024-12-31,48.18893994885036
2025-01-31,54.263129696405485
2025-02-28,62.097373595148525
2025-03-31,66.42317164507953
2025-04-30,77.83652384619853
2025-05-31,141.30993019850547
2025-06-30,252.04639070200028
2025-07-31,385.4204053566831
2025-08-31,324.8094741625539
2025-09-30,238.69459711961258
2025-10-31,102.61227422785922
2025-11-30,45.73250548729381
2025-12-31,47.861790897916364
2026-01-31,53.90663045972687
2026-02-28,61.71152417272529
2026-03-31,66.00797203691171
2026-04-30,77.39197405228603
2026-05-31,140.83603021884835
2026-06-30,251.54314053659854
2026-07-31,384.88780500553673
2026-08-31,324.2475236256629
2026-09-30,238.1032963969769
2026-10-31,101.99162331947898
2026-11-30,45.08250439316892
2026-12-31,47.182439618046885
